"id","zone_erm_id","shop_class_id","city_id","manager_id","cm","name","address","phone"
"161","33","2","22604","100","3439","Hazebrouck","199 RUE DE MERVILLE","03-28-50-10-72"
"162","33","2","24805","101","3316","Saint Martin au Laert","RUE DES CORMETTES Z.I. FOND SQUIN","03-21-38-99-00"
"163","34","2","24096","218","3437","Annay","16 ROUTE DE LILLE","03-21-70-62-05"
"164","34","2","24104","219","3020","Arras","245, AVENUE KENNEDY","03-21-21-71-40"
"165","34","2","22908","102","3353","Valenciennes","ROUVIGNIES PROUVY Z.I. 2","03-27-21-02-54"
"166","35","2","31210","103","3083","Coignières","109 A 115, ROUTE NATIONALE 10","01-30-05-00-00"
"167","35","1","31212","104","3088","Conflans Sainte Honorine","9, RUE DE L ACTIVITE Z.I. DU CHAMP GAILLARD","01-39-72-04-00"
"168","35","1","9725","105","3147","Evreux VI","2, RUE DU GAL LANGLE DE CARY Z.I. NO.2 LA MADELEINE","02-32-28-50-30"
"169","35","2","9900","220","3186","Le Neubourg","441, ROUTE D ELBEUF VITOT","02-32-35-10-47"
"170","35","2","35296","221","3220","Massy Palaiseau VI","12-14 RUE FRANCOIS SOMMER","01-69-20-38-20"
"171","35","1","30467","108","3305","Saint Etienne De Rouvray VI","RUE DE LA GRANDE EPINE Z.I. EST","02-32-91-74-40"
"172","36","3","30060","222","3029","Bapeaume les Rouen","9021 RUE DU CANAL CENTRE CIAL LECLERC","02-35-74-27-69"
"173","36","3","35336","223","3039","Blanc Mesnil VL","190, AVENUE CHARLES FLOQUET","01-55-81-19-60"
"174","36","3","35149","224","3091","Corbeil","80, 84,  BLD DE FONTAINEBLEAU","01-60-89-15-25"
"175","36","3","9725","110","3148","Evreux VL","54, AVENUE FOCH","02-32-33-91-08"
"176","36","3","35198","225","3199","Longjumeau","5, ROUTE DE VERSAILLES PETIT CHAMPLAN","01-69-74-18-88"
"177","36","3","35204","111","3219","Massy CORA VL","120, AVENUE DE L EUROPE CENTRE COMMERCIAL CORA","01-64-53-13-55"
"178","36","3","35204","226","3221","Massy VL","12, RUE MARCEL PAUL Z.I. DE LA BONDE","01-69-75-13-50"
"179","36","3","35320","112","3246","Nanterre VL","74-76,  AVENUE W. LENINE","01-55-69-16-00"
"180","36","3","30959","113","3250","Nemours","16, RUE D EGREVILLE","01-64-28-11-21"
"181","36","3","29916","227","3261","Paris XVII","181 TER, AVENUE DE CLICHY","01-53-06-67-00"
"182","36","3","35558","109","3267","Pierrelaye VL","121, AVENUE DU GENERAL LECLERC R.N. 14","01-34-21-34-34"
"183","36","3","31339","228","3269","Plaisir","5 RUE DES FRERES LUMIERE","01-82-61-05-30"
"184","36","3","31341","229","3270","Poissy VL","40, BOULEVARD ROBESPIERRE 43 BOULEVARD DEVAUX","01-30-06-31-40"
"185","36","3","30995","230","3275","Pontault Combault","ZAC DE LA TETE DE BUIS IMPASSE PEPITO 21 ROUTE  DE PARIS","01-82-70-00-20"
"186","36","3","30431","231","3295","Rouen Av. de Caen","55 AVENUE DE CAEN BP 1223","02-35-62-00-24"
"187","36","3","31360","232","3301","Saint Cyr l'Ecole","10, AVENUE H. BARBUSSE","01-30-45-29-72"
"188","36","3","29540","106","3315","Saint Marcel","11, RUE DE LA GARENNE Z.I.","02-32-21-68-04"
"189","36","3","35414","233","3354","Valenton","54, AVENUE HENRI BARBUSSE","01-43-89-06-54"
"190","36","3","31398","234","3358","Versailles","77, RUE DES CHANTIERS","01-30-21-24-25"
"191","36","3","35416","235","3363","Villejuif","21 RUE DE VERDUN VAL-DE-MARNE","01-46-77-06-06"
"192","36","3","31409","114","3366","Viroflay","199, AVENUE DU GENERAL LECLERC","01-30-24-49-96"
"193","36","3","35292","115","3367","Viry Chatillon","134, AV. DU GENERAL DE GAULLE R.N. 7","01-69-44-30-07"
"194","37","2","35336","116","3038","Blanc Mesnil VI","3, AMAND ESDERS","01-48-67-17-40"
"195","37","2","30871","117","3175","Lagny","6-8, RUE CLAUDE CHAPPE Z.I.","01-60-94-08-98"
"196","37","2","35332","118","3364","Villeneuve la Garenne","8, RUE DE LA REDOUTE Z.I.","01-41-21-86-60"
"197","38","2","10251","236","3105","Dreux","27, AVENUE DES FENOTS","02-37-62-55-30"
"198","38","2","35166","107","3145","Etampes","ZI DES ROCHETTES","01-69-78-18-30"
"199","38","2","10289","119","3157","Gellainville","28 AVENUE LOUIS PASTEUR Z.I","02-37-88-42-20"
"200","39","2","30764","120","3094","Coulommiers","8, RUE DE L ORGEVAL Z.I.","01-64-03-01-95"
"201","39","2","16973","121","3235","Montereau ZI","7 RUE DES GRANDES HAIES Z.I.","01-64-32-11-98"
"202","39","2","31000","122","3276","Provins","ROUTE DE CHAMPBENOIST Z.A.C. DES BORDES","01-64-00-03-23"
"203","39","2","31107","123","3355","Vaux le Penil","22, RUE DU MARECHAL JUIN","01-64-39-12-63"
"204","40","2","11191","124","3028","Bagnols","ROND POINT DE L EUROPE","04-66-89-54-19"
"205","40","1","33055","125","3150","Flassans VI","4 CHEMIN RN7","04-83-72-82-00"
"206","40","2","33060","126","3155","Fréjus","161 RUE GEORGE BESSE Z.I. LA PALUD","04-94-52-77-40"
"207","40","2","33250","127","3187","Le Pontet","RUE DE LA VERDETTE LOTISS. D ACTIVITE LA GAULOISE","04-90-31-29-60"
